feature	mean_abs_shap	repeat
pI	0.0375990469887246	3
P	0.030817609201386223	3
length	0.028030037529761367	3
mw	0.026880202722796186	3
instability	0.02562707576268094	3
E	0.023467961494911534	3
L	0.02298651546669539	3
W	0.019622639269514675	3
M	0.019297043960207278	3
V	0.017679458212016344	3
D	0.016481700415110205	3
K	0.01614546361010295	3
I	0.015380870922092955	3
G	0.01352166788298365	3
C	0.013167110899980836	3
S	0.01258150150828839	3
T	0.011878307431098968	3
F	0.011186091535983309	3
aromaticity	0.010788029863282032	3
N	0.010756433943789516	3
Y	0.010678900606199153	3
A	0.009566103151783538	3
Q	0.00919936606156664	3
H	0.009179381566623668	3
R	0.009068042383323678	3
