feature,mean_abs_shap,seed,best_model,rank
MG,1.6441251803678313e+29,6,svm_rbf,1
_PolarizabilityD1025,1.6441251803678313e+29,6,svm_rbf,2
YR,15387741767280.78,6,svm_rbf,3
TT,7130256369571.702,6,svm_rbf,4
_NormalizedVDWVD3075,5216310130337.726,6,svm_rbf,5
HD,5216310130337.724,6,svm_rbf,6
FN,4627249208271.342,6,svm_rbf,7
ST,3930629238084.06,6,svm_rbf,8
_SecondaryStrD3075,3565128184785.8545,6,svm_rbf,9
_HydrophobicityD1001,703767720370.7747,6,svm_rbf,10
AI,0.006706816631759139,6,svm_rbf,11
SV,0.00612283281295957,6,svm_rbf,12
_ChargeD1025,0.0055188574940608645,6,svm_rbf,13
_PolarityC2,0.004826066197460057,6,svm_rbf,14
DY,0.0047664238520347575,6,svm_rbf,15
RA,0.004275701042569747,6,svm_rbf,16
EE,0.004048770085774154,6,svm_rbf,17
M,0.0036787678671199565,6,svm_rbf,18
DN,0.0036494538012023926,6,svm_rbf,19
CS,0.0035698764066850954,6,svm_rbf,20
