feature,mean_abs_shap,seed,best_model,rank
PF,32245046740364.824,7,svm_rbf,1
FA,26769130381725.297,7,svm_rbf,2
_NormalizedVDWVD1075,5475916358639.53,7,svm_rbf,3
CF,1867455448844.326,7,svm_rbf,4
_PolarizabilityD1025,1867455448844.3247,7,svm_rbf,5
length,1407374883553.2869,7,svm_rbf,6
GR,1407374883553.281,7,svm_rbf,7
mw,0.00684485055782596,7,svm_rbf,8
KI,0.005338039486452804,7,svm_rbf,9
_ChargeD1100,0.0053180248880073284,7,svm_rbf,10
_NormalizedVDWVD3075,0.004880087097628039,7,svm_rbf,11
PI,0.003626744226784247,7,svm_rbf,12
EY,0.003353465594513315,7,svm_rbf,13
YV,0.0033445001981584886,7,svm_rbf,14
ET,0.0033157225559810044,7,svm_rbf,15
_HydrophobicityC2,0.0033153666606954395,7,svm_rbf,16
YK,0.0033095773179724584,7,svm_rbf,17
AP,0.003211041257532592,7,svm_rbf,18
YQ,0.003139478934271556,7,svm_rbf,19
NY,0.003000838618975089,7,svm_rbf,20
