feature	mean_abs_shap	repeat
pI	0.02823947447879001	2
_SolventAccessibilityD1050	0.027653555617266918	2
length	0.026843970091574874	2
mw	0.02422176917462306	2
instability	0.021636702643275368	2
C	0.021169427954402954	2
_ChargeD1100	0.019554136548336508	2
G	0.019440463178825803	2
_SolventAccessibilityD3075	0.019030713576695574	2
W	0.01779998345685233	2
_HydrophobicityT13	0.01751235142426385	2
_SecondaryStrT12	0.01742108193798401	2
_SecondaryStrD3050	0.017378359701357905	2
_PolarizabilityD2100	0.01601202726936255	2
_PolarizabilityD1050	0.015919806191373464	2
_SecondaryStrT13	0.015733852786502037	2
_PolarityD2075	0.014871949391861271	2
_SolventAccessibilityD3050	0.014642065727587148	2
I	0.01442757877055817	2
_SecondaryStrT23	0.014282025995013062	2
