feature,mean_abs_shap,seed,best_model,rank
M,0.018207151200476696,6,svm_rbf,6
length,0.015468405159819574,6,svm_rbf,7
T,0.014421426181490954,6,svm_rbf,8
mw,0.012707842071897452,6,svm_rbf,9
L,0.01265051776453898,6,svm_rbf,10
W,0.010336052887605246,6,svm_rbf,11
R,0.009238988758174587,6,svm_rbf,12
I,0.00770064355315282,6,svm_rbf,13
N,0.007272812312886202,6,svm_rbf,14
C,0.006467445968084613,6,svm_rbf,15
F,0.006082408652465688,6,svm_rbf,16
K,0.0059280583165291474,6,svm_rbf,17
D,0.005825117698478234,6,svm_rbf,18
instability,0.005437281899544195,6,svm_rbf,19
S,0.004697475768471447,6,svm_rbf,20
H,0.004492210035512121,6,svm_rbf,21
A,0.004348966814053572,6,svm_rbf,22
aromaticity,0.003268838873902601,6,svm_rbf,23
Y,0.0025857302676461414,6,svm_rbf,24
Q,0.001801389363450791,6,svm_rbf,25
pI,0.10237410307088313,7,random_forest,1
E,0.06526685489105401,7,random_forest,2
length,0.054330812586179576,7,random_forest,3
P,0.0445231108237498,7,random_forest,4
mw,0.04435020505362365,7,random_forest,5
D,0.03231650889845797,7,random_forest,6
instability,0.03173513197971572,7,random_forest,7
M,0.021521174738869407,7,random_forest,8
I,0.019872932742882973,7,random_forest,9
L,0.01918501974928698,7,random_forest,10
Y,0.014930160458061106,7,random_forest,11
V,0.010416416610719325,7,random_forest,12
K,0.009200363536220153,7,random_forest,13
N,0.008773152672219562,7,random_forest,14
W,0.007287043842407134,7,random_forest,15
C,0.007132516355851656,7,random_forest,16
aromaticity,0.006532127254278237,7,random_forest,17
G,0.00635761460031054,7,random_forest,18
R,0.005844809724463142,7,random_forest,19
S,0.005663235618941803,7,random_forest,20
T,0.005234636333482734,7,random_forest,21
A,0.00479609714886002,7,random_forest,22
Q,0.0040792406673287205,7,random_forest,23
F,0.0036168926422929675,7,random_forest,24
H,0.0019162376242994137,7,random_forest,25
P,0.023288416325801795,8,svm_rbf,1
V,0.01994916886215213,8,svm_rbf,2
pI,0.01445981894027596,8,svm_rbf,3
mw,0.01401246191734582,8,svm_rbf,4
E,0.013807498769151251,8,svm_rbf,5
length,0.013589474786968505,8,svm_rbf,6
M,0.012713361982340087,8,svm_rbf,7
instability,0.012223755970366153,8,svm_rbf,8
G,0.010765118665358741,8,svm_rbf,9
T,0.010039613301834038,8,svm_rbf,10
L,0.00906898063106516,8,svm_rbf,11
Y,0.008852043470726306,8,svm_rbf,12
C,0.008815389358060012,8,svm_rbf,13
I,0.008478327729170478,8,svm_rbf,14
W,0.008150408313083952,8,svm_rbf,15
K,0.006942547588350695,8,svm_rbf,16
D,0.006524903729258756,8,svm_rbf,17
N,0.006228027377050103,8,svm_rbf,18
aromaticity,0.004512483472137391,8,svm_rbf,19
F,0.004454499865086315,8,svm_rbf,20
S,0.004063492352731362,8,svm_rbf,21
R,0.003693889307423151,8,svm_rbf,22
H,0.003374061229796854,8,svm_rbf,23
A,0.002448250565859658,8,svm_rbf,24
Q,0.002099015219034129,8,svm_rbf,25
pI,0.6747150421142578,9,xgboost,1
E,0.5340688228607178,9,xgboost,2
M,0.5333269238471985,9,xgboost,3
I,0.5237325429916382,9,xgboost,4
length,0.5200980305671692,9,xgboost,5
P,0.5169815421104431,9,xgboost,6
mw,0.3221316933631897,9,xgboost,7
R,0.31145358085632324,9,xgboost,8
instability,0.21404200792312622,9,xgboost,9
L,0.21269796788692474,9,xgboost,10
Y,0.2001182585954666,9,xgboost,11
T,0.19671466946601868,9,xgboost,12
G,0.1790628582239151,9,xgboost,13
F,0.14217793941497803,9,xgboost,14
C,0.13464772701263428,9,xgboost,15
W,0.12468799948692322,9,xgboost,16
aromaticity,0.11302065849304199,9,xgboost,17
D,0.09135983139276505,9,xgboost,18
V,0.0884200856089592,9,xgboost,19
A,0.07801063358783722,9,xgboost,20
K,0.07318411767482758,9,xgboost,21
N,0.040451787412166595,9,xgboost,22
Q,0.03742983192205429,9,xgboost,23
S,0.03142387419939041,9,xgboost,24
H,0.006760822609066963,9,xgboost,25
