feature,mean_abs_shap,seed,best_model,rank
pI,0.10237410307088313,7,random_forest,1
E,0.06526685489105401,7,random_forest,2
length,0.054330812586179576,7,random_forest,3
P,0.0445231108237498,7,random_forest,4
mw,0.04435020505362365,7,random_forest,5
D,0.03231650889845797,7,random_forest,6
instability,0.03173513197971572,7,random_forest,7
M,0.021521174738869407,7,random_forest,8
I,0.019872932742882973,7,random_forest,9
L,0.01918501974928698,7,random_forest,10
Y,0.014930160458061106,7,random_forest,11
V,0.010416416610719325,7,random_forest,12
K,0.009200363536220153,7,random_forest,13
N,0.008773152672219562,7,random_forest,14
W,0.007287043842407134,7,random_forest,15
C,0.007132516355851656,7,random_forest,16
aromaticity,0.006532127254278237,7,random_forest,17
G,0.00635761460031054,7,random_forest,18
R,0.005844809724463142,7,random_forest,19
S,0.005663235618941803,7,random_forest,20
