feature,mean_abs_shap,seed,best_model,rank
P,0.8186738,3,xgboost,1
length,0.7226492,3,xgboost,2
E,0.5311971,3,xgboost,3
pI,0.47034594,3,xgboost,4
M,0.40639907,3,xgboost,5
V,0.3160908,3,xgboost,6
L,0.31025335,3,xgboost,7
instability,0.3064592,3,xgboost,8
R,0.23989128,3,xgboost,9
K,0.20400952,3,xgboost,10
I,0.20250225,3,xgboost,11
S,0.20185599,3,xgboost,12
W,0.1841956,3,xgboost,13
mw,0.17672926,3,xgboost,14
Y,0.1671874,3,xgboost,15
F,0.14738616,3,xgboost,16
G,0.14599821,3,xgboost,17
Q,0.12388685,3,xgboost,18
T,0.11218741,3,xgboost,19
aromaticity,0.099266246,3,xgboost,20
