feature,mean_abs_shap,seed,best_model,rank
pI,0.67471504,9,xgboost,1
E,0.5340688,9,xgboost,2
M,0.5333269,9,xgboost,3
I,0.52373254,9,xgboost,4
length,0.52009803,9,xgboost,5
P,0.51698154,9,xgboost,6
mw,0.3221317,9,xgboost,7
R,0.31145358,9,xgboost,8
instability,0.21404201,9,xgboost,9
L,0.21269797,9,xgboost,10
Y,0.20011826,9,xgboost,11
T,0.19671467,9,xgboost,12
G,0.17906286,9,xgboost,13
F,0.14217794,9,xgboost,14
C,0.13464773,9,xgboost,15
W,0.124688,9,xgboost,16
aromaticity,0.11302066,9,xgboost,17
D,0.09135983,9,xgboost,18
V,0.088420086,9,xgboost,19
A,0.07801063,9,xgboost,20
