feature,mean_abs_shap,seed,best_model,rank
DF,0.013533228256749331,2,svm_rbf,1
LF,0.00772467158883313,2,svm_rbf,2
V,0.006666827660695619,2,svm_rbf,3
EY,0.005681275388688698,2,svm_rbf,4
length,0.004755572941408166,2,svm_rbf,5
QK,0.004707673565550112,2,svm_rbf,6
_ChargeD2075,0.004503288401837551,2,svm_rbf,7
H,0.004450356292509611,2,svm_rbf,8
_NormalizedVDWVC1,0.004124415187827675,2,svm_rbf,9
_SecondaryStrT12,0.004030513976217246,2,svm_rbf,10
_PolarizabilityD3100,0.00393742957081666,2,svm_rbf,11
_HydrophobicityD3050,0.0038782482681227414,2,svm_rbf,12
C,0.0038427416575766205,2,svm_rbf,13
HT,0.003648280284974712,2,svm_rbf,14
_SolventAccessibilityD2075,0.0035394277079624013,2,svm_rbf,15
QQ,0.00346359484796323,2,svm_rbf,16
_SolventAccessibilityD1075,0.003401802498341588,2,svm_rbf,17
_HydrophobicityD3075,0.003268455802156868,2,svm_rbf,18
LT,0.003222699788803579,2,svm_rbf,19
CI,0.0031564773084915136,2,svm_rbf,20
