feature,mean_abs_shap,seed,best_model,rank
length,0.39166441553593756,1,logistic_regression,1
mw,0.3761480579087278,1,logistic_regression,2
pI,0.24407434450401552,1,logistic_regression,3
TG,0.19408723490659302,1,logistic_regression,4
P,0.18923082089096951,1,logistic_regression,5
IP,0.17664288555571178,1,logistic_regression,6
_SolventAccessibilityD1050,0.17560344766173835,1,logistic_regression,7
_NormalizedVDWVD2001,0.1666156522985125,1,logistic_regression,8
CL,0.16569208208531117,1,logistic_regression,9
_PolarizabilityT13,0.16340722054714743,1,logistic_regression,10
_HydrophobicityC3,0.156979634802765,1,logistic_regression,11
_HydrophobicityT12,0.15235672604144868,1,logistic_regression,12
_ChargeD3050,0.14618226568806625,1,logistic_regression,13
L,0.14475595937384175,1,logistic_regression,14
_SolventAccessibilityD2050,0.13840474301611955,1,logistic_regression,15
_HydrophobicityD1050,0.13840474301611955,1,logistic_regression,16
YD,0.13790301861164703,1,logistic_regression,17
instability,0.1358634378928495,1,logistic_regression,18
QV,0.13483150883745204,1,logistic_regression,19
DF,0.1346485764612282,1,logistic_regression,20
