feature	mean_abs_shap	repeat
EY	0.02891461024963913	2
mw	0.024976511780606198	2
length	0.024347051632642648	2
DF	0.022738152631982624	2
NA	0.012707957890125668	2
pI	0.010726225798931392	2
_HydrophobicityD3001	0.010361851874145248	2
EE	0.010168511592318614	2
_SolventAccessibilityD3050	0.00988709385986842	2
_SecondaryStrD3025	0.009670771867133323	2
_PolarizabilityD2050	0.008497744350705157	2
_ChargeD3050	0.008483382554457063	2
MH	0.007600565026168274	2
AP	0.007521305882768526	2
YP	0.00750552588503278	2
LK	0.007474736765501688	2
IP	0.007333098776089342	2
_NormalizedVDWVD1025	0.00723256866561897	2
VC	0.006884569457360132	2
_SolventAccessibilityD3075	0.0068332588448885056	2
