feature	mean_abs_shap	repeat
C	0.01786284453358354	3
mw	0.017093910908764134	3
pI	0.014563550555243752	3
length	0.01337178003600429	3
_ChargeD3050	0.011492555241382535	3
_SecondaryStrC3	0.011294134389134378	3
_ChargeT23	0.010916673670663162	3
_ChargeC3	0.010721018686615725	3
_HydrophobicityT12	0.010591739559031886	3
_NormalizedVDWVC1	0.009679759204878076	3
_ChargeD3075	0.009551869310881752	3
instability	0.009185042201769677	3
L	0.008497055858004539	3
I	0.00841834963485547	3
_SolventAccessibilityT23	0.008395266052124395	3
_HydrophobicityT23	0.008326585415128117	3
_PolarityC1	0.008223499290048633	3
_PolarizabilityT13	0.008073902092482193	3
_PolarityT12	0.008040041571982402	3
_HydrophobicityC3	0.00781991665569636	3
_PolarityT23	0.007779616321007914	3
P	0.007744194585098233	3
_NormalizedVDWVC3	0.007724653571285288	3
_SecondaryStrC1	0.007640864817946541	3
H	0.00748197948042445	3
