feature	mean_abs_shap	repeat
pI	0.5181229150917788	1
P	0.505678551542005	1
E	0.3429024447839183	1
instability	0.33358688437624373	1
_ChargeC3	0.29863571327499805	1
_SolventAccessibilityD3001	0.29412608719505073	1
_SecondaryStrD3001	0.2863805505481141	1
_PolarizabilityD1100	0.27056979032456735	1
_SolventAccessibilityD1050	0.25776013305201206	1
_ChargeT23	0.2524135711463896	1
_SecondaryStrC3	0.2517744432663021	1
_PolarizabilityD2100	0.24362096938517067	1
_SolventAccessibilityD3075	0.23393113932546106	1
_PolarizabilityD3025	0.22456999968852323	1
_NormalizedVDWVD2001	0.21633535000286802	1
_PolarityD1075	0.20936022327246614	1
_HydrophobicityD3025	0.20003957010740853	1
_PolarizabilityD2025	0.18921956134043288	1
_SecondaryStrD1100	0.18542674487627658	1
_SecondaryStrC1	0.18440171190461113	1
