feature	mean_abs_shap	repeat
P	0.4451580142233797	1
pI	0.44182673267887707	1
_ChargeC3	0.31114520964716214	1
instability	0.30438321868744955	1
E	0.2984971967159508	1
_PolarizabilityD2001	0.26416658648801955	1
_PolarizabilityD1100	0.2508371077824741	1
_ChargeT23	0.23885662800149293	1
_HydrophobicityT13	0.20242901779947714	1
_SecondaryStrD3001	0.20008817907093907	1
_ChargeD1100	0.19399777283305594	1
_SecondaryStrD1001	0.1919514502017992	1
_HydrophobicityD3025	0.18815249066124667	1
_SecondaryStrC3	0.18071876494471503	1
length	0.17833694530738287	1
EY	0.17330185921816155	1
_ChargeT13	0.1731731569008988	1
_SecondaryStrC1	0.16434459253335437	1
_NormalizedVDWVD2001	0.15847552627352063	1
_SolventAccessibilityD1050	0.15313440136551798	1
