feature,mean_abs_shap,seed,best_model,rank
EE,5485981725943.928,5,svm_rbf,1
_SecondaryStrD3050,5485981725943.928,5,svm_rbf,2
FY,507516626061.64453,5,svm_rbf,3
KM,507516626061.6445,5,svm_rbf,4
SF,152779773237.591,5,svm_rbf,5
FS,152779773237.58896,5,svm_rbf,6
NS,0.010048474387925435,5,svm_rbf,7
_SecondaryStrD2075,0.008068761316392663,5,svm_rbf,8
DD,0.007765157910085683,5,svm_rbf,9
T,0.006526142845021779,5,svm_rbf,10
_SecondaryStrD2001,0.006295970051040568,5,svm_rbf,11
_PolarityD3100,0.004752011743959677,5,svm_rbf,12
mw,0.0044373147686695424,5,svm_rbf,13
_SecondaryStrT13,0.0044085453332024195,5,svm_rbf,14
_PolarityC2,0.00412870977503795,5,svm_rbf,15
_SolventAccessibilityD3075,0.004074971641210039,5,svm_rbf,16
_HydrophobicityD2001,0.004057542906108926,5,svm_rbf,17
_PolarityT23,0.003803301253301998,5,svm_rbf,18
FN,0.0036356229059518203,5,svm_rbf,19
IH,0.003468626815708931,5,svm_rbf,20
