feature,mean_abs_shap,seed,best_model,rank
length,0.3454139518070675,4,logistic_regression,1
mw,0.3347741841587901,4,logistic_regression,2
CQ,0.3213869906891497,4,logistic_regression,3
PR,0.2607001003966396,4,logistic_regression,4
pI,0.24630548979712227,4,logistic_regression,5
LE,0.23276553665587552,4,logistic_regression,6
YD,0.2235826607901138,4,logistic_regression,7
_SecondaryStrC3,0.18907895178885326,4,logistic_regression,8
P,0.1800834205063817,4,logistic_regression,9
TG,0.17412593924102296,4,logistic_regression,10
EL,0.16777931837463858,4,logistic_regression,11
_SolventAccessibilityD3050,0.1630669692283048,4,logistic_regression,12
EY,0.15794863029215817,4,logistic_regression,13
_ChargeD3050,0.1517958531193584,4,logistic_regression,14
_HydrophobicityD3100,0.14090337754251864,4,logistic_regression,15
_SolventAccessibilityD1050,0.14035831253508665,4,logistic_regression,16
_ChargeT23,0.13990430223248984,4,logistic_regression,17
_SecondaryStrD2075,0.13866164725561214,4,logistic_regression,18
_ChargeD1075,0.13517327924876996,4,logistic_regression,19
_SecondaryStrC1,0.129130011824674,4,logistic_regression,20
