dataset	model	n_seeds	mean_external_positive_fraction	std_external_positive_fraction	ci95_external_positive_fraction	mean_external_mean_probability	std_external_mean_probability	ci95_external_mean_probability	mean_external_min_probability	std_external_min_probability	ci95_external_min_probability	mean_external_max_probability	std_external_max_probability	ci95_external_max_probability
pcp_aac	knn	10	0.7000000000000001	0.06135895979186846	0.038030677288995104	0.6290909090909091	0.07675704338903058	0.04757450837966245	0.0	0.0	0.0	0.9	0.10540925533894596	0.06533333333333333
pcp_aac	svm_rbf	10	0.6363636363636365	1.1702778228589004e-16	7.253457094217689e-17	0.5583656353658136	0.04289489556299563	0.026586531714926896	0.005966944098501852	0.001603887330775318	0.0009940996668054245	0.9396390862862656	0.03477556980650044	0.02155412147366958
pcp_aac	logistic_regression	10	0.5636363636363635	0.09389050536260404	0.058193938131576105	0.4931526624345864	0.07669025403721544	0.04753311191052675	0.0069899499566612715	0.007253500637416888	0.004495766272649223	0.8683069353886868	0.08266073116368691	0.051233651972293806
pcp_aac	svm_linear	10	0.5454545454545454	0.1049727762162956	0.06506280077031064	0.2615449407331958	0.06749444596435276	0.041833491017068854	0.01838484151975643	0.01910495566447543	0.011841374201270483	0.5068574575294892	0.1553096273379456	0.09626190432821286
pcp_aac	random_forest	10	0.47272727272727266	0.21341596195950313	0.13227658365026473	0.4173110258713291	0.05813515168341616	0.036032540322037544	0.017692393907060386	0.007086930741664247	0.004392525181650973	0.7626825161046822	0.09486619161388841	0.058798674735387024
pcp_aac	xgboost	10	0.40909090909090906	0.2066391166209978	0.1280762513926719	0.37182669300818816	0.0829262941560531	0.05139824962024671	0.0034821003559045494	0.0024349814896313664	0.0015092171632466191	0.8527334928512573	0.11043932676786293	0.06845100390504152
pcp_aac_ctd	knn	10	0.6454545454545455	0.06707861703387474	0.04157575757575759	0.6672727272727272	0.029752576263354136	0.018440837821011913	0.0	0.0	0.0	1.0	0.0	0.0
pcp_aac_ctd	logistic_regression	10	0.6272727272727273	0.07959954870644667	0.0493363114282407	0.6411291579775675	0.0419946260800303	0.026028538908400827	0.00011318748594676544	0.00016702689860402303	0.00010352434430013137	0.9966621719645422	0.002524029026646639	0.0015644093984979162
pcp_aac_ctd	svm_rbf	10	0.6181818181818182	0.03833063830507128	0.023757575757575766	0.6393347213896629	0.02809428720710863	0.017413019615425206	0.005470559393987092	0.004619733553449992	0.002863340521553018	0.9836225493819362	0.007480066348759047	0.004636193155406566
pcp_aac_ctd	svm_linear	10	0.6090909090909091	0.08624393618641038	0.05345454545454547	0.5097667915578709	0.0470457752610357	0.029159273606201977	0.006946345348396203	0.006215110166379426	0.003852165190786899	0.8638722270034018	0.07955636099415088	0.049309543406834494
pcp_aac_ctd	xgboost	10	0.5727272727272726	0.08624393618641035	0.05345454545454545	0.5333208030079153	0.0788525308409378	0.048873304958303	0.004457874258514493	0.001968553663541978	0.0012201222015200378	0.929592365026474	0.06734072440404659	0.04173821340688453
pcp_aac_ctd	random_forest	10	0.5545454545454545	0.07959954870644664	0.04933631142824068	0.4787967839593156	0.04725170707621349	0.02928691146761829	0.041982938518226605	0.010455443548047439	0.006480351049591838	0.7845389483203414	0.07962708476864667	0.04935337845641214
pcp_aac_ctd_dpc	knn	10	0.7818181818181819	0.046945252681302035	0.02909696906578806	0.7345454545454545	0.05434305883990276	0.033682176827109486	0.15999999999999998	0.12649110640673517	0.07839999999999998	1.0	0.0	0.0
pcp_aac_ctd_dpc	logistic_regression	10	0.7181818181818183	0.02874797872880346	0.017818181818181823	0.7018121839276278	0.01692353771637701	0.010489317349297136	3.703424892826905e-06	9.539748493791173e-06	5.91279737492599e-06	0.9986217459787721	0.0008900026900048999	0.0005516293823220825
pcp_aac_ctd_dpc	svm_rbf	10	0.7090909090909092	0.03833063830507128	0.023757575757575766	0.6396671634810601	0.04672650319677783	0.028961386730603552	0.010643113270686485	0.00408136265133373	0.0025296547793302146	0.9863402163766255	0.007684217593744348	0.004762727407983831
pcp_aac_ctd_dpc	svm_linear	10	0.7090909090909092	0.03833063830507128	0.023757575757575766	0.6002225898554208	0.03730989388016643	0.023124911808418632	0.00041206445309553447	0.0007595660599997591	0.0004707839214600331	0.9513017196027185	0.020188353059054195	0.012512870863350851
pcp_aac_ctd_dpc	random_forest	10	0.6	0.04694525268130204	0.029096969065788063	0.4932293536802378	0.03826880710814836	0.023719252384680523	0.0471907035259015	0.015252888797825498	0.009453838421685635	0.7766728845475777	0.05774392779720308	0.03579005724516036
pcp_aac_ctd_dpc	xgboost	10	0.5818181818181818	0.06356417261637283	0.039397482358161116	0.5223966198296032	0.079730191456896	0.04941728464387763	0.0037965056020766498	0.0009574550228822987	0.0005934367713774327	0.9465150773525238	0.05341079384581728	0.0331043529973354
