dataset	seed	model	val_mcc	test_mcc	test_accuracy	test_f1	test_precision	test_recall
pcp_aac	0	svm_linear	0.6073201818814866	0.6843163697007141	0.8952380952380953	0.7317073170731707	0.625	0.8823529411764706
pcp_aac	0	svm_rbf	0.713641240140063	0.7402874468122884	0.9333333333333333	0.7741935483870968	0.8571428571428571	0.7058823529411765
pcp_aac	0	logistic_regression	0.6073201818814866	0.6041370851446374	0.8666666666666667	0.6666666666666666	0.56	0.8235294117647058
pcp_aac	0	random_forest	0.7496972056282853	0.6982573078272163	0.9238095238095239	0.7333333333333333	0.8461538461538461	0.6470588235294118
pcp_aac	0	knn	0.7707990516243899	0.7085788514171758	0.9142857142857143	0.7567567567567568	0.7	0.8235294117647058
pcp_aac	0	xgboost	0.7879788693213197	0.7402874468122884	0.9333333333333333	0.7741935483870968	0.8571428571428571	0.7058823529411765
pcp_aac	1	svm_linear	0.7085788514171758	0.5828666591251803	0.8476190476190476	0.6521739130434783	0.5357142857142857	0.8333333333333334
pcp_aac	1	svm_rbf	0.7360081490818708	0.7201931413999583	0.9142857142857143	0.7692307692307693	0.7142857142857143	0.8333333333333334
pcp_aac	1	logistic_regression	0.666462773481876	0.6172363897541354	0.8666666666666667	0.6818181818181818	0.5769230769230769	0.8333333333333334
pcp_aac	1	random_forest	0.696630546019236	0.8623164985025762	0.9619047619047619	0.875	1.0	0.7777777777777778
pcp_aac	1	knn	0.6333004963811236	0.7977571985407899	0.9333333333333333	0.8292682926829268	0.7391304347826086	0.9444444444444444
pcp_aac	1	xgboost	0.7783040514449475	0.7915285842451476	0.9428571428571428	0.8235294117647058	0.875	0.7777777777777778
pcp_aac	2	svm_linear	0.49544541153489696	0.5798920633785982	0.819047619047619	0.6274509803921569	0.47058823529411764	0.9411764705882353
pcp_aac	2	svm_rbf	0.7212151313299695	0.8007786875233289	0.9428571428571428	0.8333333333333334	0.7894736842105263	0.8823529411764706
pcp_aac	2	logistic_regression	0.4674177717278571	0.5798920633785982	0.819047619047619	0.6274509803921569	0.47058823529411764	0.9411764705882353
pcp_aac	2	random_forest	0.6731456008918131	0.7488578221288901	0.9333333333333333	0.7878787878787878	0.8125	0.7647058823529411
pcp_aac	2	knn	0.47455475311913253	0.7085788514171758	0.9142857142857143	0.7567567567567568	0.7	0.8235294117647058
pcp_aac	2	xgboost	0.7496972056282853	0.6918855882440867	0.9142857142857143	0.7428571428571429	0.7222222222222222	0.7647058823529411
pcp_aac	3	svm_linear	0.5949128426783328	0.5768960560210635	0.8761904761904762	0.6486486486486487	0.6	0.7058823529411765
pcp_aac	3	svm_rbf	0.7915285842451476	0.7192513368983957	0.9238095238095239	0.7647058823529411	0.7647058823529411	0.7647058823529411
pcp_aac	3	logistic_regression	0.6570183044350496	0.623285034168894	0.8952380952380953	0.6857142857142857	0.6666666666666666	0.7058823529411765
pcp_aac	3	random_forest	0.7530977603847103	0.6500909243816677	0.9142857142857143	0.6666666666666666	0.9	0.5294117647058824
pcp_aac	3	knn	0.7593093684227009	0.820797503120229	0.9523809523809523	0.8484848484848485	0.875	0.8235294117647058
pcp_aac	3	xgboost	0.8290866963944723	0.6547454196879734	0.9142857142857143	0.6896551724137931	0.8333333333333334	0.5882352941176471
pcp_aac	4	svm_linear	0.697154239345804	0.6463442557635897	0.8761904761904762	0.6976744186046512	0.5769230769230769	0.8823529411764706
pcp_aac	4	svm_rbf	0.8290866963944723	0.6547454196879734	0.9142857142857143	0.6896551724137931	0.8333333333333334	0.5882352941176471
pcp_aac	4	logistic_regression	0.5919707814130345	0.6287372835939984	0.8666666666666667	0.6818181818181818	0.5555555555555556	0.8823529411764706
pcp_aac	4	random_forest	0.713641240140063	0.5559428703147038	0.8952380952380953	0.56	0.875	0.4117647058823529
pcp_aac	4	knn	0.7988505747126436	0.7497771504927777	0.9238095238095239	0.7894736842105263	0.7142857142857143	0.8823529411764706
pcp_aac	4	xgboost	0.7102931331657747	0.6042742236303221	0.9047619047619048	0.6153846153846154	0.8888888888888888	0.47058823529411764
pcp_aac	5	svm_linear	0.7062437675510362	0.8214024242516601	0.9428571428571428	0.85	0.7727272727272727	0.9444444444444444
pcp_aac	5	svm_rbf	0.6982573078272163	0.7530977603847103	0.9333333333333333	0.7878787878787878	0.8666666666666667	0.7222222222222222
pcp_aac	5	logistic_regression	0.7062437675510362	0.8214024242516601	0.9428571428571428	0.85	0.7727272727272727	0.9444444444444444
pcp_aac	5	random_forest	0.696630546019236	0.7520657131391064	0.9333333333333333	0.7586206896551724	1.0	0.6111111111111112
pcp_aac	5	knn	0.7810706122033858	0.7201931413999583	0.9142857142857143	0.7692307692307693	0.7142857142857143	0.8333333333333334
pcp_aac	5	xgboost	0.6500909243816677	0.7520657131391064	0.9333333333333333	0.7586206896551724	1.0	0.6111111111111112
pcp_aac	6	svm_linear	0.5828666591251803	0.5864447439761432	0.8571428571428571	0.6511627906976745	0.5384615384615384	0.8235294117647058
pcp_aac	6	svm_rbf	0.7318007662835249	0.7402874468122884	0.9333333333333333	0.7741935483870968	0.8571428571428571	0.7058823529411765
pcp_aac	6	logistic_regression	0.6033002431810991	0.5265452321886966	0.8380952380952381	0.6046511627906976	0.5	0.7647058823529411
pcp_aac	6	random_forest	0.6729738073914725	0.8172708784757683	0.9523809523809523	0.8275862068965517	1.0	0.7058823529411765
pcp_aac	6	knn	0.7201931413999583	0.7894385026737968	0.9428571428571428	0.8235294117647058	0.8235294117647058	0.8235294117647058
pcp_aac	6	xgboost	0.7212151313299695	0.7402874468122884	0.9333333333333333	0.7741935483870968	0.8571428571428571	0.7058823529411765
pcp_aac	7	svm_linear	0.620505227994023	0.6073201818814866	0.8476190476190476	0.6666666666666666	0.5333333333333333	0.8888888888888888
pcp_aac	7	svm_rbf	0.8163443762793043	0.7915285842451476	0.9428571428571428	0.8235294117647058	0.875	0.7777777777777778
pcp_aac	7	logistic_regression	0.5558692667446455	0.5828666591251803	0.8476190476190476	0.6521739130434783	0.5357142857142857	0.8333333333333334
pcp_aac	7	random_forest	0.8163443762793043	0.6731456008918131	0.9142857142857143	0.6666666666666666	1.0	0.5
pcp_aac	7	knn	0.7488578221288901	0.7604861423192796	0.9333333333333333	0.8	0.8235294117647058	0.7777777777777778
pcp_aac	7	xgboost	0.7767551850454794	0.7102931331657747	0.9238095238095239	0.7333333333333333	0.9166666666666666	0.6111111111111112
pcp_aac	8	svm_linear	0.666462773481876	0.6073201818814866	0.8476190476190476	0.6666666666666666	0.5333333333333333	0.8888888888888888
pcp_aac	8	svm_rbf	0.8172708784757683	0.8290866963944723	0.9523809523809523	0.8571428571428571	0.8823529411764706	0.8333333333333334
pcp_aac	8	logistic_regression	0.666462773481876	0.6233140056388515	0.8571428571428571	0.6808510638297872	0.5517241379310345	0.8888888888888888
pcp_aac	8	random_forest	0.6938805747902786	0.7988505747126436	0.9428571428571428	0.8333333333333334	0.8333333333333334	0.8333333333333334
pcp_aac	8	knn	0.7402874468122884	0.7833679783648669	0.9333333333333333	0.8205128205128205	0.7619047619047619	0.8888888888888888
pcp_aac	8	xgboost	0.7360081490818708	0.7446564204948336	0.9238095238095239	0.7894736842105263	0.75	0.8333333333333334
pcp_aac	9	svm_linear	0.6172363897541354	0.7862453931068965	0.9238095238095239	0.8095238095238095	0.68	1.0
pcp_aac	9	svm_rbf	0.7915285842451476	0.897687250469665	0.9714285714285714	0.9142857142857143	0.8888888888888888	0.9411764705882353
pcp_aac	9	logistic_regression	0.5763539780776888	0.6631234265900481	0.8952380952380953	0.717948717948718	0.6363636363636364	0.8235294117647058
pcp_aac	9	random_forest	0.7897188828807975	0.7767551850454794	0.9428571428571428	0.8	0.9230769230769231	0.7058823529411765
pcp_aac	9	knn	0.7604861423192796	0.7894385026737968	0.9428571428571428	0.8235294117647058	0.8235294117647058	0.8235294117647058
pcp_aac	9	xgboost	0.8623164985025762	0.7402874468122884	0.9333333333333333	0.7741935483870968	0.8571428571428571	0.7058823529411765
pcp_aac_ctd	0	svm_linear	0.7707990516243899	0.6642305173452725	0.9142857142857143	0.7096774193548387	0.7857142857142857	0.6470588235294118
pcp_aac_ctd	0	svm_rbf	0.7915285842451476	0.7783040514449475	0.9428571428571428	0.7857142857142857	1.0	0.6470588235294118
pcp_aac_ctd	0	logistic_regression	0.7446564204948336	0.6642305173452725	0.9142857142857143	0.7096774193548387	0.7857142857142857	0.6470588235294118
pcp_aac_ctd	0	random_forest	0.7879788693213197	0.7783040514449475	0.9428571428571428	0.7857142857142857	1.0	0.6470588235294118
pcp_aac_ctd	0	knn	0.6972163125937417	0.6918855882440867	0.9142857142857143	0.7428571428571429	0.7222222222222222	0.7647058823529411
pcp_aac_ctd	0	xgboost	0.7496972056282853	0.8172708784757683	0.9523809523809523	0.8275862068965517	1.0	0.7058823529411765
pcp_aac_ctd	1	svm_linear	0.666462773481876	0.6972163125937417	0.9047619047619048	0.75	0.6818181818181818	0.8333333333333334
pcp_aac_ctd	1	svm_rbf	0.7767551850454794	0.8618420371603257	0.9619047619047619	0.8823529411764706	0.9375	0.8333333333333334
pcp_aac_ctd	1	logistic_regression	0.6631234265900481	0.7201931413999583	0.9142857142857143	0.7692307692307693	0.7142857142857143	0.8333333333333334
pcp_aac_ctd	1	random_forest	0.696630546019236	0.8264206038650982	0.9523809523809523	0.8387096774193549	1.0	0.7222222222222222
pcp_aac_ctd	1	knn	0.666462773481876	0.697154239345804	0.8857142857142857	0.7391304347826086	0.6071428571428571	0.9444444444444444
pcp_aac_ctd	1	xgboost	0.7360081490818708	0.8253126141202305	0.9523809523809523	0.8484848484848485	0.9333333333333333	0.7777777777777778
pcp_aac_ctd	2	svm_linear	0.6803033965014529	0.7336207305026025	0.9238095238095239	0.7777777777777778	0.7368421052631579	0.8235294117647058
pcp_aac_ctd	2	svm_rbf	0.8253126141202305	0.820797503120229	0.9523809523809523	0.8484848484848485	0.875	0.8235294117647058
pcp_aac_ctd	2	logistic_regression	0.5763539780776888	0.7048797941776788	0.9047619047619048	0.75	0.6521739130434783	0.8823529411764706
pcp_aac_ctd	2	random_forest	0.5875696513930031	0.7360081490818708	0.9333333333333333	0.7586206896551724	0.9166666666666666	0.6470588235294118
pcp_aac_ctd	2	knn	0.5347337978987327	0.8144131117421551	0.9428571428571428	0.8421052631578947	0.7619047619047619	0.9411764705882353
