seed,best_model,model,val_mcc,val_accuracy,val_f1,val_precision,val_recall,test_mcc,test_accuracy,test_f1,test_precision,test_recall
0,xgboost,xgboost,0.7879788693213197,0.9428571428571428,0.8125,0.9285714285714286,0.7222222222222222,0.7402874468122884,0.9333333333333333,0.7741935483870968,0.8571428571428571,0.7058823529411765
1,xgboost,xgboost,0.7783040514449475,0.9428571428571428,0.7857142857142857,1.0,0.6470588235294118,0.7915285842451476,0.9428571428571428,0.8235294117647058,0.875,0.7777777777777778
2,xgboost,xgboost,0.7496972056282853,0.9333333333333333,0.7741935483870968,0.9230769230769231,0.6666666666666666,0.6918855882440867,0.9142857142857143,0.7428571428571429,0.7222222222222222,0.7647058823529411
3,xgboost,xgboost,0.8290866963944723,0.9523809523809523,0.8571428571428571,0.8823529411764706,0.8333333333333334,0.6547454196879734,0.9142857142857143,0.6896551724137931,0.8333333333333334,0.5882352941176471
4,svm_rbf,svm_rbf,0.8290866963944723,0.9523809523809523,0.8571428571428571,0.8823529411764706,0.8333333333333334,0.6547454196879734,0.9142857142857143,0.6896551724137931,0.8333333333333334,0.5882352941176471
5,knn,knn,0.7810706122033858,0.9428571428571428,0.8125,0.8666666666666667,0.7647058823529411,0.7201931413999583,0.9142857142857143,0.7692307692307693,0.7142857142857143,0.8333333333333334
6,svm_rbf,svm_rbf,0.7318007662835249,0.9238095238095239,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7402874468122884,0.9333333333333333,0.7741935483870968,0.8571428571428571,0.7058823529411765
7,random_forest,random_forest,0.8163443762793043,0.9523809523809523,0.8387096774193549,0.9285714285714286,0.7647058823529411,0.6731456008918131,0.9142857142857143,0.6666666666666666,1.0,0.5
8,svm_rbf,svm_rbf,0.8172708784757683,0.9523809523809523,0.8275862068965517,1.0,0.7058823529411765,0.8290866963944723,0.9523809523809523,0.8571428571428571,0.8823529411764706,0.8333333333333334
9,xgboost,xgboost,0.8623164985025762,0.9619047619047619,0.875,1.0,0.7777777777777778,0.7402874468122884,0.9333333333333333,0.7741935483870968,0.8571428571428571,0.7058823529411765
