feature	mean_abs_shap
pI	0.5394542868388821
P	0.5329056520182329
E	0.3318778585058171
instability	0.3225407528912805
_SolventAccessibilityD3001	0.3067510623724822
_ChargeC3	0.30169485251966405
_SecondaryStrD3001	0.2755673787694036
_PolarizabilityD1100	0.2653702702926432
_SolventAccessibilityD1050	0.2606255608933046
_SolventAccessibilityD3075	0.2504766321332505
_SecondaryStrC3	0.2502775310481122
_PolarizabilityD2100	0.24907697847083515
_ChargeT23	0.24760718573199886
_NormalizedVDWVD2001	0.2114664158858049
_PolarizabilityD3025	0.20824351786159273
_PolarityD1075	0.20189858606938896
_HydrophobicityD3025	0.19923542169491212
_SecondaryStrD1100	0.19228367028292653
_PolarizabilityD2025	0.18944047747897752
_SecondaryStrC1	0.18559160303346586
