feature,mean_abs_shap,seed,best_model,rank
P,0.6655592,6,xgboost,1
_ChargeT23,0.40112668,6,xgboost,2
pI,0.35641032,6,xgboost,3
instability,0.2758246,6,xgboost,4
length,0.24867275,6,xgboost,5
_PolarizabilityD2025,0.23524614,6,xgboost,6
_SecondaryStrC3,0.22829123,6,xgboost,7
_ChargeC3,0.22199719,6,xgboost,8
_PolarizabilityD2100,0.20602375,6,xgboost,9
_PolarizabilityD2001,0.1837569,6,xgboost,10
_HydrophobicityT12,0.16353315,6,xgboost,11
_PolarityD3025,0.15193485,6,xgboost,12
_ChargeT13,0.1266504,6,xgboost,13
_ChargeD1100,0.12508905,6,xgboost,14
_PolarizabilityD1001,0.11742361,6,xgboost,15
_SecondaryStrD3001,0.11639347,6,xgboost,16
_SecondaryStrD1100,0.103131905,6,xgboost,17
_ChargeD3075,0.10116659,6,xgboost,18
_HydrophobicityC3,0.09415003,6,xgboost,19
E,0.09400698,6,xgboost,20
