feature,mean_abs_shap,seed,best_model,rank
length,0.008017911736975913,2,svm_rbf,1
C,0.0062302772058402634,2,svm_rbf,2
_PolarizabilityD1075,0.005652868635047618,2,svm_rbf,3
_SolventAccessibilityD3100,0.00553389341375524,2,svm_rbf,4
_SecondaryStrC3,0.004673647326740073,2,svm_rbf,5
W,0.004504593572226188,2,svm_rbf,6
_HydrophobicityD3100,0.004452764724857831,2,svm_rbf,7
M,0.004133406197206786,2,svm_rbf,8
_NormalizedVDWVC3,0.003938427565021153,2,svm_rbf,9
P,0.0039346836869430316,2,svm_rbf,10
_ChargeD2050,0.003854263383482242,2,svm_rbf,11
_HydrophobicityT13,0.0037944249379811366,2,svm_rbf,12
_ChargeC3,0.0035515037177514764,2,svm_rbf,13
_NormalizedVDWVC1,0.0034471918674058603,2,svm_rbf,14
_PolarizabilityT13,0.0034351339420267747,2,svm_rbf,15
_PolarityD2075,0.003404029815660489,2,svm_rbf,16
_PolarizabilityD3050,0.003396487086300443,2,svm_rbf,17
R,0.003262167318844013,2,svm_rbf,18
_PolarizabilityC3,0.003251156689779873,2,svm_rbf,19
_HydrophobicityD2025,0.0032189566210406835,2,svm_rbf,20
