feature,mean_abs_shap,seed,best_model,rank
instability,0.8271203262232709,7,logistic_regression,1
pI,0.7024428808859343,7,logistic_regression,2
_SecondaryStrD1001,0.6483099011286535,7,logistic_regression,3
length,0.5585275265029207,7,logistic_regression,4
_NormalizedVDWVD2075,0.527267731796991,7,logistic_regression,5
_SecondaryStrD1100,0.5144773582084173,7,logistic_regression,6
C,0.508359844718154,7,logistic_regression,7
mw,0.5043495507853885,7,logistic_regression,8
_PolarizabilityD2050,0.49586906744376896,7,logistic_regression,9
_PolarizabilityD1050,0.4840941562096129,7,logistic_regression,10
_HydrophobicityD3100,0.4498347100763222,7,logistic_regression,11
_PolarizabilityT13,0.44532661086489705,7,logistic_regression,12
_PolarizabilityD2100,0.4451035071572319,7,logistic_regression,13
_SolventAccessibilityD1050,0.44448621260990856,7,logistic_regression,14
_SecondaryStrT23,0.4333626921828688,7,logistic_regression,15
M,0.43182988772142283,7,logistic_regression,16
Q,0.42786150325419525,7,logistic_regression,17
_ChargeD3050,0.3937318826597225,7,logistic_regression,18
_ChargeD3025,0.3667697766128748,7,logistic_regression,19
_SecondaryStrT12,0.366574293377919,7,logistic_regression,20
