feature,mean_abs_shap,seed,best_model,rank
mw,0.00977341207269942,0,svm_rbf,1
length,0.009278323178870361,0,svm_rbf,2
C,0.00537474441393805,0,svm_rbf,3
_ChargeC3,0.0049722856700624325,0,svm_rbf,4
_HydrophobicityD2001,0.004766597062331148,0,svm_rbf,5
_NormalizedVDWVD1001,0.004359108854092782,0,svm_rbf,6
_SolventAccessibilityT13,0.004014343692579221,0,svm_rbf,7
_HydrophobicityD3025,0.0036075186458396436,0,svm_rbf,8
_ChargeT23,0.003538072541136521,0,svm_rbf,9
_PolarityC3,0.0035300113734389005,0,svm_rbf,10
_PolarizabilityD2075,0.0033573173388462604,0,svm_rbf,11
_NormalizedVDWVT23,0.003267491967435841,0,svm_rbf,12
M,0.0031767585754241346,0,svm_rbf,13
_SecondaryStrD2050,0.0031364125948799503,0,svm_rbf,14
_ChargeD1100,0.0031165060639132863,0,svm_rbf,15
_SecondaryStrC3,0.003100953597086088,0,svm_rbf,16
_SolventAccessibilityD2050,0.003024482418885021,0,svm_rbf,17
_PolarizabilityD2050,0.0029750478718179917,0,svm_rbf,18
W,0.002953015641091562,0,svm_rbf,19
_ChargeD3050,0.0028848817751704853,0,svm_rbf,20
