feature,times_in_top_20,fraction_of_splits,mean_rank,median_rank,mean_abs_shap_across_splits,std_abs_shap_across_splits
_PolarizabilityD3001,1,0.1,88.0,81.0,0.025311420067738177,0.0595607881276596
_PolarityD2075,1,0.1,96.8,109.0,0.02521176890161129,0.07331407578473081
_SolventAccessibilityC2,1,0.1,94.4,106.0,0.025192321257114614,0.050693771536417735
_HydrophobicityC1,1,0.1,94.1,91.0,0.025076141222791965,0.050752919743140654
_HydrophobicityD2025,1,0.1,89.2,94.5,0.02353977436084552,0.04544963881112627
_NormalizedVDWVC2,1,0.1,94.6,93.0,0.02326122838012649,0.053186905399462844
_PolarizabilityD1001,1,0.1,110.7,134.5,0.02314169384108934,0.0403010990275782
_SolventAccessibilityD1075,1,0.1,92.9,98.0,0.023132779265209,0.04319911164241935
_NormalizedVDWVD2001,1,0.1,80.9,85.5,0.02255247365266711,0.0409624955558172
_ChargeD1001,1,0.1,86.5,89.0,0.021830386496728714,0.04156672408981433
_PolarityC3,1,0.1,85.4,84.5,0.02056683622987039,0.04516611892155966
_ChargeD2050,1,0.1,103.5,125.0,0.013163965313186093,0.025013807842666737
D,1,0.1,99.7,127.0,0.012850995038751223,0.020329203713642365
_HydrophobicityD2001,1,0.1,99.7,110.0,0.008878404696318381,0.015931607692571216
