feature,mean_abs_shap,seed,best_model,rank
length,0.008268321323235885,9,svm_rbf,1
mw,0.007468422052137282,9,svm_rbf,2
pI,0.006822412769538377,9,svm_rbf,3
_ChargeT23,0.005746398116472467,9,svm_rbf,4
_SolventAccessibilityD2050,0.005316328088516658,9,svm_rbf,5
_SecondaryStrT12,0.005299013847808069,9,svm_rbf,6
_ChargeD3075,0.00514786750611475,9,svm_rbf,7
T,0.00444115534514041,9,svm_rbf,8
_HydrophobicityC1,0.004392183658511044,9,svm_rbf,9
_SecondaryStrD1100,0.004340381115573372,9,svm_rbf,10
_HydrophobicityT12,0.004282882827567779,9,svm_rbf,11
_SolventAccessibilityC2,0.004071751416984582,9,svm_rbf,12
C,0.004036310225224133,9,svm_rbf,13
M,0.003700128007617639,9,svm_rbf,14
_HydrophobicityC3,0.003588714340513565,9,svm_rbf,15
_SolventAccessibilityD3100,0.0034747404504100205,9,svm_rbf,16
_PolarizabilityD2050,0.0033459719380637153,9,svm_rbf,17
_SolventAccessibilityT12,0.003234275079847768,9,svm_rbf,18
_ChargeC3,0.003226525970029667,9,svm_rbf,19
_PolarizabilityD2025,0.003170248947901157,9,svm_rbf,20
