feature,mean_abs_shap,seed,best_model,rank
mw,0.009238022914437524,4,svm_rbf,1
length,0.007310756718033881,4,svm_rbf,2
_SecondaryStrC3,0.004351992021352102,4,svm_rbf,3
_SecondaryStrT23,0.0033953066268483,4,svm_rbf,4
instability,0.003346307074477649,4,svm_rbf,5
V,0.0031101850200170324,4,svm_rbf,6
_ChargeD1025,0.0030220726892443116,4,svm_rbf,7
_ChargeT13,0.0029934659588003857,4,svm_rbf,8
_ChargeD3050,0.002952361365297332,4,svm_rbf,9
_HydrophobicityT23,0.002879341344366921,4,svm_rbf,10
K,0.002667171509492064,4,svm_rbf,11
_SolventAccessibilityD1075,0.002589899164267721,4,svm_rbf,12
_SecondaryStrD3100,0.0025244200499012098,4,svm_rbf,13
pI,0.002393525632069495,4,svm_rbf,14
M,0.0022666899574399937,4,svm_rbf,15
_NormalizedVDWVC2,0.002258469473391206,4,svm_rbf,16
_SolventAccessibilityD1100,0.0020299291254006163,4,svm_rbf,17
_ChargeC3,0.0019326167075809546,4,svm_rbf,18
_PolarizabilityT13,0.001821063130844564,4,svm_rbf,19
_PolarizabilityD3001,0.001787202865743618,4,svm_rbf,20
