feature	mean_abs_shap	repeat
length	1.1703334999745711	1
pI	0.9964648245278662	1
E	0.961841778075461	1
P	0.8066372254828622	1
mw	0.795876694361614	1
F	0.7902840827100299	1
instability	0.7485021369385143	1
Y	0.7205996146983379	1
R	0.6661468714981676	1
I	0.6660326960146192	1
M	0.5315274049343355	1
L	0.5221630813966912	1
aromaticity	0.4175816575595889	1
G	0.3503384042413455	1
D	0.32720516656685866	1
N	0.27216135358162863	1
A	0.2526716105155721	1
T	0.16039938053378866	1
K	0.15990171465479225	1
H	0.1517197088040994	1
