dataset	model	cv_mcc	test_mcc	test_accuracy	test_f1	generalization_gap_abs
pcp_aac	svm_rbf	0.7861207467659239	0.9329501915708812	0.9809523809523809	0.9444444444444444	0.1468294448049573
pcp_aac	knn	0.8141843288572312	0.8733624684815949	0.9619047619047619	0.8947368421052632	0.05917813962436369
pcp_aac	xgboost	0.8083004316619876	0.8364388735388757	0.9523809523809523	0.8648648648648649	0.028138441876888076
pcp_aac	random_forest	0.7952677891958855	0.7707990516243899	0.9333333333333333	0.8108108108108109	0.02446873757149559
pcp_aac	svm_linear	0.6494205219128368	0.7343273037996354	0.9047619047619048	0.7727272727272727	0.08490678188679857
pcp_aac	logistic_regression	0.6081702854062657	0.697154239345804	0.8857142857142857	0.7391304347826086	0.08898395393953829
pcp_aac_ctd	random_forest	0.7925636716948782	0.9662878045448577	0.9904761904761905	0.9714285714285714	0.17372413284997956
pcp_aac_ctd	xgboost	0.811543777912016	0.897687250469665	0.9714285714285714	0.9142857142857143	0.08614347255764898
pcp_aac_ctd	svm_rbf	0.7918580258902204	0.897687250469665	0.9714285714285714	0.9142857142857143	0.10582922457944466
pcp_aac_ctd	knn	0.7504520374756929	0.8465428153297755	0.9523809523809523	0.8717948717948718	0.0960907778540826
pcp_aac_ctd	svm_linear	0.6926396472953416	0.7543456477781516	0.9142857142857143	0.7906976744186046	0.06170600048281005
pcp_aac_ctd	logistic_regression	0.6626455336661874	0.697154239345804	0.8857142857142857	0.7391304347826086	0.034508705679616614
pcp_aac_ctd_dpc	random_forest	0.7928065203272782	0.9662878045448577	0.9904761904761905	0.9714285714285714	0.17348128421757958
pcp_aac_ctd_dpc	svm_rbf	0.8505771171463842	0.9329501915708812	0.9809523809523809	0.9444444444444444	0.08237307442449704
pcp_aac_ctd_dpc	xgboost	0.80362201240802	0.9321554900755038	0.9809523809523809	0.9411764705882353	0.1285334776674838
pcp_aac_ctd_dpc	knn	0.7649241519876584	0.9020786954533615	0.9714285714285714	0.918918918918919	0.1371545434657031
pcp_aac_ctd_dpc	svm_linear	0.7849575244251336	0.7754499770171333	0.9238095238095239	0.8095238095238095	0.009507547408000305
pcp_aac_ctd_dpc	logistic_regression	0.701697352765171	0.6473691165720082	0.8571428571428571	0.6938775510204082	0.05432823619316274
