feature,mean_abs_shap,seed,best_model,rank
_PolarizabilityD3025,1101282841334652.1,8,svm_rbf,1
_HydrophobicityD1075,1101282841334651.9,8,svm_rbf,2
K,365691122277.3803,8,svm_rbf,3
AA,365691122277.37994,8,svm_rbf,4
TL,0.20572374120766035,8,svm_rbf,5
YH,0.19550730611675735,8,svm_rbf,6
QQ,0.10462493031326617,8,svm_rbf,7
_PolarityD3100,0.08427787150767856,8,svm_rbf,8
_ChargeT23,0.0553112168835088,8,svm_rbf,9
YY,0.02477476926995216,8,svm_rbf,10
QS,0.010376849862311474,8,svm_rbf,11
MG,0.010032608109683261,8,svm_rbf,12
FE,0.0077532054912522776,8,svm_rbf,13
KQ,0.0072309638556035125,8,svm_rbf,14
PE,0.006867689089637866,8,svm_rbf,15
_SecondaryStrC3,0.005354340705845103,8,svm_rbf,16
_ChargeT13,0.004946922026831652,8,svm_rbf,17
SG,0.004453095683285999,8,svm_rbf,18
_SolventAccessibilityD3025,0.004330942811223384,8,svm_rbf,19
SE,0.004328716169664511,8,svm_rbf,20
