feature	mean_abs_shap	repeat
mw	0.029712041831937912	1
length	0.029361338038434513	1
EE	0.016289408780103022	1
pI	0.011975645928166235	1
NA	0.009276652577586161	1
EY	0.008908227427615878	1
DF	0.008634773497039356	1
_ChargeC3	0.008128723569972183	1
_ChargeT23	0.00787664378522601	1
P	0.007523379896590149	1
PR	0.007428741020725074	1
KN	0.006762892944556562	1
AE	0.006440350391791286	1
CL	0.006393776905109999	1
ER	0.006062074776102169	1
_SolventAccessibilityD1050	0.006031075668088455	1
_ChargeD1075	0.0059083056296547086	1
TE	0.0057666193745256	1
_SolventAccessibilityD3075	0.005681107391329958	1
_HydrophobicityD3001	0.005654616996321769	1
